Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
37394,-0.02,-0.00,-1.05,28.11,2.36,0.79,0.11
37498,-0.02,-0.00,-1.04,28.11,2.24,0.85,0.31
37603,-0.03,-0.00,-1.04,28.06,2.50,0.87,0.19
37707,-0.03,-0.00,-1.04,28.20,2.40,0.69,0.08
37812,-0.03,-0.00,-1.04,28.11,2.43,0.72,0.12
37916,-0.03,-0.01,-1.06,28.11,2.21,0.94,0.11
38022,-0.02,-0.00,-1.05,28.06,2.41,0.83,0.06
38126,-0.03,-0.01,-1.05,28.15,2.24,0.50,0.14
38231,-0.03,-0.00,-1.04,28.11,2.30,0.69,0.03
38335,-0.03,-0.01,-1.05,28.20,2.33,0.64,0.15
38439,-0.03,-0.00,-1.04,28.15,2.23,0.56,0.17
38544,-0.02,0.00,-1.04,28.11,2.26,0.76,0.14
38648,-0.02,-0.00,-1.04,28.11,2.19,0.65,0.14
38753,-0.03,-0.00,-1.04,28.06,2.40,0.76,-0.02
38857,-0.03,-0.00,-1.04,28.11,2.30,0.67,0.05
38963,-0.03,-0.00,-1.04,28.06,2.40,0.81,-0.06
39067,-0.03,-0.00,-1.04,28.11,2.37,0.79,0.18
39172,-0.03,0.00,-1.05,28.06,2.27,0.71,-0.11
39276,-0.03,-0.01,-1.05,28.11,2.44,0.75,0.11
39380,-0.03,-0.01,-1.04,28.15,2.42,0.68,0.18
39485,-0.03,-0.00,-1.05,28.11,2.24,0.79,0.08
39589,-0.02,-0.00,-1.04,28.11,2.21,0.83,0.18
39694,-0.03,-0.01,-1.05,28.15,2.24,0.84,0.19
39798,-0.03,-0.00,-1.04,28.11,2.37,0.76,0.17
39904,-0.02,-0.00,-1.05,28.15,2.23,0.67,0.10
40008,-0.03,-0.01,-1.05,28.11,2.29,0.80,0.22
40113,-0.02,-0.00,-1.04,28.15,2.33,0.64,0.08
40217,-0.03,0.00,-1.05,28.11,2.40,0.66,-0.01
40322,-0.03,-0.01,-1.05,28.11,2.22,0.72,-0.14
40426,-0.03,-0.01,-1.05,28.11,2.33,0.57,0.10
40530,-0.02,-0.01,-1.04,28.06,2.35,0.69,0.13
40635,-0.03,-0.01,-1.04,28.11,2.11,0.77,0.02
40740,-0.03,-0.00,-1.05,28.15,2.47,0.83,0.11
40845,-0.03,-0.01,-1.04,28.11,2.14,0.60,0.02
40949,-0.03,-0.01,-1.04,28.11,2.09,0.67,0.11
41054,-0.02,0.00,-1.04,28.15,2.37,0.94,0.27
41158,-0.02,-0.01,-1.03,28.11,2.42,0.80,-0.05
41263,-0.03,-0.01,-1.04,28.06,2.31,0.86,0.20
41367,-0.03,-0.01,-1.05,28.11,2.30,0.62,0.11
41472,-0.03,-0.00,-1.04,28.11,2.36,0.77,-0.08
41576,-0.02,-0.01,-1.04,28.25,2.46,0.74,0.11
41681,-0.03,0.00,-1.04,28.20,2.31,0.70,0.30
41786,-0.02,-0.01,-1.04,28.25,2.25,0.67,0.24
41890,-0.04,0.01,-1.06,28.11,2.31,0.66,0.20
41995,-0.03,-0.01,-1.04,28.15,2.24,0.75,-0.06
42099,-0.03,-0.00,-1.04,28.11,2.27,0.63,0.04
42204,-0.03,0.00,-1.04,28.15,2.14,0.76,0.21
