Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
26826,-0.01,0.98,0.00,30.27,2.27,0.91,-0.04
26931,-0.01,0.99,0.01,30.37,2.13,0.76,0.24
27035,0.00,0.99,0.00,30.32,2.37,0.61,0.05
27140,0.02,1.01,-0.00,30.37,2.25,0.77,0.16
27244,0.00,0.98,-0.00,30.27,2.10,0.89,-0.08
27348,-0.00,1.00,-0.00,30.32,2.19,0.60,0.19
27454,0.04,1.01,0.00,30.37,2.13,0.70,0.19
27558,-0.01,0.99,0.00,30.18,2.47,0.69,0.18
27663,0.00,1.00,-0.00,30.37,2.35,0.79,0.19
27767,0.04,1.01,0.01,30.32,2.11,0.69,0.21
27872,0.03,0.99,0.00,30.27,2.29,0.73,-0.15
27976,0.01,1.00,-0.00,30.27,2.45,0.64,0.18
28081,0.04,1.00,-0.00,30.32,2.35,0.84,0.24
28185,0.04,1.00,-0.00,30.22,2.15,0.80,0.12
28290,0.03,1.01,-0.00,30.32,2.17,0.77,0.15
28395,0.02,1.00,0.00,30.27,2.19,0.88,0.04
28499,0.00,1.00,-0.00,30.27,2.12,0.75,0.08
28604,0.02,0.99,-0.00,30.32,2.17,0.83,0.11
28708,0.00,0.99,0.00,30.32,2.32,0.70,-0.04
28813,0.04,1.00,0.00,30.27,2.28,0.81,0.24
28917,0.00,1.00,-0.00,30.27,2.41,0.78,0.03
29022,-0.00,0.99,0.00,30.32,2.46,0.76,0.11
29126,-0.01,0.99,0.01,30.41,2.46,0.90,-0.05
29231,0.04,1.01,-0.00,30.27,2.30,0.78,-0.05
29335,0.02,1.00,-0.00,30.37,2.15,0.79,-0.11
29440,-0.01,0.99,-0.00,30.32,2.43,0.76,0.07
29545,0.01,1.00,-0.00,30.37,2.15,0.79,0.14
29649,0.04,1.00,0.00,30.32,2.23,0.79,0.21
29754,0.00,0.99,0.00,30.32,2.03,0.67,0.06
29858,-0.01,0.99,0.01,30.27,2.15,0.72,0.00
29963,-0.01,0.99,-0.00,30.46,2.27,0.77,0.21
30067,0.04,1.00,-0.00,30.27,2.10,0.63,0.05
30172,0.03,1.00,0.00,30.32,2.36,0.76,-0.04
