Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
40524,1.00,-0.01,-0.02,29.42,2.21,0.82,-0.02
40630,1.02,-0.01,-0.02,29.42,2.32,0.82,0.17
40734,1.02,0.01,-0.01,29.42,2.27,0.70,0.10
40839,1.01,0.00,-0.01,29.42,2.35,0.69,0.15
40943,1.01,0.00,-0.02,29.42,2.35,0.62,-0.05
41048,1.03,0.01,-0.02,29.42,2.28,0.70,0.28
41152,1.03,0.00,-0.01,29.47,2.31,0.76,0.06
41256,1.03,-0.00,-0.02,29.47,2.38,0.60,-0.02
41361,1.05,0.01,-0.02,29.47,2.34,0.89,0.30
41465,1.01,-0.01,-0.01,29.38,2.26,0.67,-0.01
41570,1.01,0.00,-0.01,29.47,2.22,0.63,0.07
41675,1.03,-0.00,-0.00,29.47,2.34,0.66,0.17
41780,1.02,0.00,-0.02,29.47,2.35,0.68,0.09
41884,1.03,0.00,-0.02,29.52,2.34,0.51,0.06
41989,1.03,0.01,-0.01,29.42,2.21,0.66,0.23
42093,1.02,0.00,-0.02,29.42,2.12,0.80,0.17
42198,1.02,0.00,-0.01,29.42,2.44,0.82,0.27
42302,1.03,0.01,-0.01,29.42,2.42,0.75,0.19
42406,1.03,0.01,-0.02,29.42,2.34,0.63,0.12
42511,1.02,-0.00,-0.02,29.42,2.37,0.82,0.11
42616,1.01,0.01,-0.01,29.42,2.33,0.81,0.10
42721,1.04,0.01,-0.01,29.52,2.37,0.71,0.05
42825,1.03,0.00,-0.01,29.42,2.44,0.73,0.23
42930,1.03,0.01,-0.02,29.42,2.27,0.59,0.28
43034,1.01,0.00,-0.02,29.42,2.11,0.77,0.09
43139,1.02,0.00,-0.02,29.42,2.23,0.76,0.10
43243,1.05,0.01,-0.00,29.52,2.28,0.72,0.12
43347,1.03,0.01,-0.02,29.38,2.25,0.82,0.05
43452,1.03,0.01,-0.02,29.47,2.39,0.52,0.19
43556,1.01,-0.00,-0.02,29.47,2.13,0.85,0.19
43662,1.04,0.01,-0.00,29.47,2.33,0.65,0.05
43766,1.01,-0.00,-0.01,29.38,2.19,0.73,0.01
43871,1.01,0.00,-0.01,29.47,2.28,0.70,0.05
43975,1.04,0.01,-0.02,29.47,2.28,0.79,0.07
